   1 Agrifacts     261890 467687
 875 Agrifacts     138768 395787
 876 Agrifacts     140734 401768
 877 Agrifacts     137697 403499
 878 Agrifacts     156788 364716
 879 Agrifacts     159805 369433
 880 Agrifacts     165318 367431
 881 Agrifacts     162383 374480
 882 Agrifacts     164879 374096
 883 Agrifacts     176454 369186
 884 Agrifacts     168088 359230
 885 Agrifacts     167051 369548
 886 Agrifacts     152953 368246
 887 Agrifacts      82693 387888
 888 Agrifacts      81680 380241
 889 Agrifacts      70396 376687
 890 Agrifacts     188578 350960
 891 Agrifacts     187721 350295
 892 Agrifacts     185215 348321
 893 Agrifacts     184549 347056
 894 Agrifacts     187906 350953
 895 Agrifacts     186167 345313
 896 Agrifacts     183627 344468
 897 Agrifacts     183789 342299
 898 Agrifacts     183235 341133
 899 Agrifacts     181811 339823
 900 Agrifacts     197163 354597
 901 Agrifacts     197933 352165
 902 Agrifacts     201015 346605
 903 Agrifacts     172188 358228
 904 Agrifacts     179493 331928
 905 Agrifacts     181094 328349
 906 Agrifacts     187653 328752
 907 Agrifacts     180053 324484
 908 Agrifacts     181419 320072
 909 Agrifacts     184464 319486
 910 Agrifacts     183280 321126
 911 Agrifacts     184256 321074
 912 Agrifacts     185714 321894
 913 Agrifacts     190919 326371
 914 Agrifacts     189188 325369
 915 Agrifacts     190672 325069
 916 Agrifacts     190529 324158
 917 Agrifacts     176383 320267
 918 Agrifacts     176044 315673
 919 Agrifacts     185974 317378
 920 Agrifacts     183371 318784
 921 Agrifacts     182070 317938
 922 Agrifacts     183111 315283
 923 Agrifacts     182473 316181
 924 Agrifacts     186013 319070
 925 Agrifacts     186690 318263
 926 Agrifacts     180431 315495
 927 Agrifacts     182478 314654
 928 Agrifacts     180456 313925
 929 Agrifacts     180117 311740
 930 Agrifacts     182114 311276
 931 Agrifacts     183144 309467
 932 Agrifacts     184224 308789
 933 Agrifacts     188858 311338
 934 Agrifacts     188192 309693
 935 Agrifacts     189272 308626
 936 Agrifacts     187878 316136
 937 Agrifacts     189486 315709
 938 Agrifacts     176802 312921
 939 Agrifacts     176701 309002
 940 Agrifacts     176149 313913
 941 Agrifacts     192600 315558
 942 Agrifacts     194371 313875
 943 Agrifacts     194936 315407
 944 Agrifacts     191206 312167
 945 Agrifacts     190239 309819
 946 Agrifacts     190729 308262
 947 Agrifacts     194120 309417
 948 Agrifacts     196644 308224
 949 Agrifacts     193878 311940
 950 Agrifacts     191005 314098
 951 Agrifacts     188046 318838
 952 Agrifacts     144479 602887
 953 Agrifacts     194479 602887
 954 Agrifacts     219479 602887
 955 Agrifacts     134479 597887
 956 Agrifacts     179479 592887
 957 Agrifacts     274479 587887
 958 Agrifacts     159479 582887
 959 Agrifacts     224479 577887
 960 Agrifacts     239479 577887
 961 Agrifacts     104479 567887
 962 Agrifacts     239479 562887
 963 Agrifacts     104479 552887
 964 Agrifacts     109479 552887
 965 Agrifacts     154479 552887
 966 Agrifacts     234479 552887
 967 Agrifacts     239479 552887
 968 Agrifacts     119479 547887
 969 Agrifacts     134479 547887
 970 Agrifacts     219479 542887
 971 Agrifacts     139479 532887
 972 Agrifacts     169479 532887
 973 Agrifacts     139479 527887
 974 Agrifacts     204479 527887
 975 Agrifacts     104479 517887
 976 Agrifacts     144479 517887
 977 Agrifacts     159479 507887
 978 Agrifacts     204479 507887
 979 Agrifacts     234479 502887
 980 Agrifacts     149479 497887
 981 Agrifacts     199479 497887
 982 Agrifacts     224479 497887
 983 Agrifacts     134479 487887
 984 Agrifacts     189479 487887
 985 Agrifacts     194479 487887
 986 Agrifacts     204479 487887
 987 Agrifacts      94479 482887
 988 Agrifacts     174479 482887
 989 Agrifacts     179479 482887
 990 Agrifacts     184479 482887
 991 Agrifacts     189479 482887
 992 Agrifacts     149479 477887
 993 Agrifacts     174479 477887
 994 Agrifacts     179479 477887
 995 Agrifacts     184479 477887
 996 Agrifacts     189479 477887
 997 Agrifacts     204479 477887
 998 Agrifacts     134479 472887
 999 Agrifacts     174479 472887
1000 Agrifacts     179479 472887
1001 Agrifacts     184479 472887
1002 Agrifacts     189479 472887
1003 Agrifacts     189479 462887
1004 Agrifacts     209479 462887
1005 Agrifacts     174479 457887
1006 Agrifacts     184479 457887
1007 Agrifacts     189479 457887
1008 Agrifacts     194479 457887
1009 Agrifacts     174479 452887
1010 Agrifacts     179479 452887
1011 Agrifacts     184479 452887
1012 Agrifacts     194479 452887
1013 Agrifacts     199479 452887
1014 Agrifacts     179479 447887
1015 Agrifacts     184479 447887
1016 Agrifacts     189479 447887
1017 Agrifacts     194479 447887
1018 Agrifacts     199479 447887
1019 Agrifacts     204479 447887
1020 Agrifacts     154479 442887
1021 Agrifacts     164479 442887
1022 Agrifacts     179479 442887
1023 Agrifacts     194479 442887
1024 Agrifacts      49479 437887
1025 Agrifacts     199479 432887
1026 Agrifacts      39479 427887
1027 Agrifacts      99479 412887
1028 Agrifacts     134479 407887
1029 Agrifacts      69479 402887
1030 Agrifacts     144479 397887
1031 Agrifacts     209479 392887
1032 Agrifacts     199479 347887
1033 Agrifacts     189479 322887
1034 Agrifacts     189479 312887
1035 Agrifacts     261890 467687
1036 Agrifacts     105883 528661
1037 Agrifacts     259558 489144
1038 Agrifacts     191035 570989
1039 Agrifacts     159663 473161
1040 Agrifacts     215342 567035
1041 Agrifacts     265802 522267
1042 Agrifacts     245180 440019
1043 Agrifacts     265056 495094
1044 Agrifacts     119898 418871
1045 Agrifacts     218890 486576
1046 Agrifacts     104151 432664
1047 Agrifacts     231086 476630
1048 Agrifacts     198448 395956
1049 Agrifacts     123485 473901
1050 Agrifacts      85329 379040
1051 Agrifacts     197886 326239
1052 Agrifacts      45030 360018
1053 Agrifacts      88550 470926
1054 Agrifacts     194720 419323
1055 Agrifacts     197845 523484
1056 Agrifacts     200650 523759
1057 Agrifacts      97586 458823
1058 Agrifacts     189721 559512
1059 Agrifacts     190215 381293
1060 Agrifacts     112410 433259
1061 Agrifacts     219059 547645
1062 Agrifacts     216413 546322
1063 Agrifacts     239487 560129
1064 Agrifacts     250325 553779
1065 Agrifacts     179226 607782
1066 Agrifacts      58937 428936
1067 Agrifacts     207215 611550
1068 Agrifacts     147621 600400
1069 Agrifacts     149958 601610
1070 Agrifacts     133228 590257
1071 Agrifacts     129382 588095
1072 Agrifacts     223895 536134
1073 Agrifacts     116191 509845
1074 Agrifacts     119363 510358
1075 Agrifacts     241225 544151
1076 Agrifacts     241180 497911
1077 Agrifacts     242085 498712
1078 Agrifacts      58642 417987
1079 Agrifacts      23615 372071
1080 Agrifacts     184997 373124
1081 Agrifacts     187832 582336
1082 Agrifacts      74880 420719
1083 Agrifacts      94105 412817
1084 Agrifacts      96950 413441
1085 Agrifacts     213413 535524
1086 Agrifacts     152890 536652
1087 Agrifacts     155003 560070
1088 Agrifacts     121422 495951
1089 Agrifacts     123611 496090
1090 Agrifacts     142713 397006
1091 Agrifacts     146619 397833
1092 Agrifacts     139879 383760
1093 Agrifacts      98033 486568
1094 Agrifacts     180189 512227
1095 Agrifacts      39784 414775
1096 Agrifacts     242188 445030
1097 Agrifacts     204921 459431
1098 Agrifacts     128680 410836
1099 Agrifacts     209321 597432
1100 Agrifacts     226334 577782
1101 Agrifacts     163997 370720
1102 Agrifacts     256415  485086
1103 Agrifacts     142831  491155
1104 Agrifacts     193911  362340
1105 Agrifacts     271249  558749
1106 Agrifacts     255179  477528
1107 Agrifacts     137367  406393
1108 Agrifacts     211176  385099
1109 Agrifacts     204330  399636
1110 Agrifacts      28735  400884
1111 Agrifacts     237105  536712
1112 Agrifacts     236348  532983
1113 Agrifacts     143824  505287
1114 Agrifacts     134193  491808
1115 Agrifacts      76678  386336
1116 Agrifacts      84329  462898
1117 Agrifacts     206498  352985
1118 Agrifacts     138183  476898
1119 Agrifacts     136395  478338
1120 Agrifacts     115089  461720
1121 Agrifacts     103916  510967
1122 Agrifacts     145763  587184
1123 Agrifacts     226394  563876
1124 Agrifacts     193272  413648
1125 Agrifacts     204223  515962
1126 Agrifacts      56920  399618
1127 Agrifacts     152548  495425
1128 Agrifacts      90565  427996
1129 Agrifacts     170932  552274
1130 Agrifacts      95160  419737
1131 Agrifacts     113743  497314
1132 Agrifacts     130143  506086
1133 Agrifacts     129914  390524
1134 Agrifacts     200356  351120
1135 Agrifacts     189459  539652
1136 Agrifacts     224701  483846
1137 Agrifacts     183434  364405
1138 Agrifacts     106008  523663
1139 Agrifacts     192516  417198
1140 Agrifacts     174429  314985
1141 Agrifacts     229428  459240
1142 Agrifacts     170641  379516
1143 Agrifacts     172089  378464
1144 Agrifacts     200136  516392
1145 Agrifacts     207328  504321
1146 Agrifacts     114968  396239
1147 Agrifacts     228266  501375
1148 Agrifacts     187434  505285
1149 Agrifacts     173704  488052
1150 Agrifacts      10708  390669
1151 Agrifacts     145506  410381
1152 Agrifacts      59227  373268
1153 Agrifacts      36435  418251
1154 Agrifacts      63930  434983
1155 Agrifacts     172050  363231
1156 Agrifacts     173604  366022
1157 Agrifacts      76665  455466
1158 Agrifacts      42713  380836
1159 Agrifacts     206896  563829
1160 Agrifacts     251003  442645
1161 Agrifacts     174740  556790
1162 Agrifacts     256463  463129
1163 Agrifacts     230297  553310
1164 Agrifacts     248375  436397
1165 Agrifacts     118165  503977
1166 Agrifacts     117046  499005
1167 Agrifacts     117608  502638
1168 Agrifacts      59521  389796
1169 Agrifacts     198899  411886
1170 Agrifacts     128289  440805
1171 Agrifacts     127835  439664
1172 Agrifacts     241626  574381
1173 Agrifacts     106722  533180
1174 Agrifacts     108128  536507
1175 Agrifacts     193264  516014
1176 Agrifacts      14841  375339
1177 Agrifacts      14738  377430
1178 Agrifacts      73233  373086
1179 Agrifacts      33125  797803
1180 Agrifacts       3808  679636
1181 Agrifacts     111223  648280
1182 Agrifacts     185953  451248
1183 Agrifacts     231857  488029
1184 Agrifacts     197294  531438
1185 Agrifacts     193131  532792
1186 Agrifacts     245289  614340
1187 Agrifacts      73654  390579
1188 Agrifacts      60112  378875
1189 Agrifacts      77564  423488
1190 Agrifacts     133355  465993
1191 Agrifacts     134458  469718
1192 Agrifacts     236649  553969
1193 Agrifacts     237362  557242
1194 Agrifacts     243114  555420
1195 Agrifacts     227011  558319
1196 Agrifacts     222311  556326
1197 Agrifacts     222416  560061
1198 Agrifacts     237589  571537
1199 Agrifacts     242598  570553
1200 Agrifacts     213713  551813
1201 Agrifacts     216992  550701
1202 Agrifacts     223023  543671
1203 Agrifacts     209755  542993
1204 Agrifacts     212224  547610
1205 Agrifacts     214429  542785
1206 Agrifacts     202525  495662
1207 Agrifacts     194371  503740
1208 Agrifacts     201765  505943
1209 Agrifacts     197373  504743
1210 Agrifacts     183749  487152
1211 Agrifacts     141847  480543
1212 Agrifacts     203025  461159
1213 Agrifacts     206567  460451
1214 Agrifacts     163393  556365
1215 Agrifacts     164121  554715
1216 Agrifacts     165450  557801
1217 Agrifacts     164528  557715
1218 Agrifacts     165364  550216
1219 Agrifacts     161893  547987
1220 Agrifacts     159322  544838
1221 Agrifacts     163543  553151
1222 Agrifacts     153874  565042
1223 Agrifacts     182965  560830
1224 Agrifacts     179279  560138
1225 Agrifacts     182800  556815
1226 Agrifacts     191686  573039
1227 Agrifacts     199046  562398
1228 Agrifacts     199856  560641
1229 Agrifacts     207617  563865
1230 Agrifacts     228734  578293
1231 Agrifacts     225271  575943
1232 Agrifacts     223401  576841
1233 Agrifacts     239560  576114
1234 Agrifacts     207445  593160
1235 Agrifacts     215052  595066
1236 Agrifacts     212238  593378
1237 Agrifacts     207663  601565
1238 Agrifacts     201563  604397
1239 Agrifacts     227776  610854
1240 Agrifacts     207927  619129
1241 Agrifacts     254670  608293
1242 Agrifacts     257132  597654
1243 Agrifacts     242982  559180
1244 Agrifacts     239946  566334
1245 Agrifacts     239738  569231
1246 Agrifacts     238716  570059
1247 Agrifacts     238400  565583
1248 Agrifacts     242415  565093
1249 Agrifacts     242385  572715
1250 Agrifacts     243386  560771
1251 Agrifacts     242344  562559
1252 Agrifacts     240116  557675
1253 Agrifacts     236348  555325
1254 Agrifacts     224035  555178
1255 Agrifacts     224230  558101
1256 Agrifacts     229117  552100
1257 Agrifacts     231565  554584
1258 Agrifacts     234311  551156
1259 Agrifacts     237319  552100
1260 Agrifacts     243371  553360
1261 Agrifacts     266528  481845
1262 Agrifacts     266183  486006
1263 Agrifacts     263486  484171
1264 Agrifacts     261632  480730
1265 Agrifacts     261696  481574
1266 Agrifacts     265663  486721
1267 Agrifacts     266545  485170
1268 Agrifacts     259297  489948
1269 Agrifacts     264264  472029
1270 Agrifacts     264989  472883
1271 Agrifacts     264592  472429
1272 Agrifacts     264416  473804
1273 Agrifacts     265165  473797
1274 Agrifacts     266271  472154
1275 Agrifacts     268082  473800
1276 Agrifacts     203647  484242
1277 Agrifacts     202855  486944
1278 Agrifacts     207290  429149
1279 Agrifacts     203030  432079
1280 Agrifacts     206378  433069
1281 Agrifacts     206630  430144
1282 Agrifacts     197504  431471
1283 Agrifacts     195665  428109
1284 Agrifacts     193991  429195
1285 Agrifacts     185557  431327
1286 Agrifacts     183764  431157
1287 Agrifacts     180870  432950
1288 Agrifacts     174109  434993
1289 Agrifacts     176974  433401
1290 Agrifacts     169212  435354
1291 Agrifacts     160728  434062
1292 Agrifacts     160077  432810
1293 Agrifacts     157083  428663
1294 Agrifacts     154829  427421
1295 Agrifacts     152916  423635
1296 Agrifacts     149185  409877
1297 Agrifacts     141162  410382
1298 Agrifacts     130448  410701
1299 Agrifacts     126142  410701
1300 Agrifacts     129825  411475
1301 Agrifacts     132920  405285
1302 Agrifacts     132432  407169
1303 Agrifacts     140085  408666
1304 Agrifacts     135039  409120
1305 Agrifacts     193983  419471
1306 Agrifacts     198239  407970
1307 Agrifacts     187057  389976
1308 Agrifacts     189311  377403
1309 Agrifacts     190665  376060
1310 Agrifacts     192774  378641
1311 Agrifacts     188189  380582
1312 Agrifacts     187402  381380
1313 Agrifacts     199361  362334
1314 Agrifacts     202384  360440
1315 Agrifacts     191704  361520
1316 Agrifacts     195542  362963
1317 Agrifacts     195691  344648
1318 Agrifacts     191951  343874
1319 Agrifacts     182668  319941
1320 Agrifacts     183019  319148
1321 Agrifacts     184719  320125
1322 Agrifacts     183611  319227
1323 Agrifacts     185521  319507
1324 Agrifacts     185276  317124
1325 Agrifacts     181560  318600
1326 Agrifacts     180451  317956
1327 Agrifacts     181814  317242
1328 Agrifacts     180793  312939
1329 Agrifacts     180915  312128
1330 Agrifacts     179776  310682
1331 Agrifacts     179951  313250
1332 Agrifacts     182782  311308
1333 Agrifacts     180758  311129
1334 Agrifacts     188492  310528
1335 Agrifacts     188437  311404
1336 Agrifacts     188169  310840
1337 Agrifacts     188844  312150
1338 Agrifacts     188617  311763
1339 Agrifacts     189110  312635
1340 Agrifacts     190486  311795
1341 Agrifacts     191510  313071
1342 Agrifacts     192286  312770
1343 Agrifacts     192564  311997
1344 Agrifacts     192685  311497
1345 Agrifacts     191902  313563
1346 Agrifacts     192291  313401
1347 Agrifacts     190759  313511
1348 Agrifacts     190831  314669
1349 Agrifacts     191513  314797
1350 Agrifacts     191503  314216
1351 Agrifacts     193244  313822
1352 Agrifacts     187811  317578
1353 Agrifacts     191211  317475
1354 Agrifacts     192632  317941
1355 Agrifacts     195836  318689
1356 Agrifacts     196929  318744
1357 Agrifacts     197433  319005
1358 Agrifacts     195303  318485
1359 Agrifacts     195477  319393
1360 Agrifacts     194507  320123
1361 Agrifacts     193481  322020
1362 Agrifacts     195409  322088
1363 Agrifacts     194784  322320
1364 Agrifacts     193101  308665
1365 Agrifacts     192618  310449
1366 Agrifacts     191482  307371
1367 Agrifacts     192003  307963
1368 Agrifacts     192246  308598
1369 Agrifacts     192613  309103
1370 Agrifacts     195024  308510
1371 Agrifacts     194517  310527
1372 Agrifacts     195673  309581
1373 Agrifacts     196710  309022
1374 Agrifacts     199324  308272
1375 Agrifacts     199008  307460
1376 Agrifacts     198067  307364
1377 Agrifacts     193538  307713
1378 Agrifacts     192769  309615
1379 Agrifacts     194831  616397
1380 Agrifacts     144680  597274
1381 Agrifacts     147513  601125
1382 Agrifacts     116318  567455
1383 Agrifacts     119631  563602
1384 Agrifacts     123449  562485
1385 Agrifacts     121612  568499
1386 Agrifacts     103861  506634
1387 Agrifacts     101988  503207
1388 Agrifacts     103772  501530
1389 Agrifacts     100613  500441
1390 Agrifacts      99221  496301
1391 Agrifacts     102469  495837
1392 Agrifacts     113766  500138
1393 Agrifacts     117907  500744
1394 Agrifacts     118799  496140
1395 Agrifacts      99632  489126
1396 Agrifacts     100685  484094
1397 Agrifacts      91190  475652
1398 Agrifacts      72851  451481
1399 Agrifacts      69213  447242
1400 Agrifacts      67380  445145
1401 Agrifacts      71897  443517
1402 Agrifacts      78253  407031
1403 Agrifacts      83585  384218
1404 Agrifacts      83023  376443
1405 Agrifacts     144660  383347
1406 Agrifacts     138385  381374
1407 Agrifacts     157503  376498
1408 Agrifacts     157200  377986
1409 Agrifacts     157554  378861
1410 Agrifacts     156527  378719
1411 Agrifacts     155722  377702
1412 Agrifacts     155631  376832
1413 Agrifacts     154808  376069
1414 Agrifacts     153728  375480
1415 Agrifacts     152801  374814
1416 Agrifacts     152132  374300
1417 Agrifacts     157236  375874
1418 Agrifacts     157358  375509
1419 Agrifacts     157306  374197
1420 Agrifacts     157278  374795
1421 Agrifacts     157459  373675
1422 Agrifacts     157828  375731
1423 Agrifacts     158443  375001
1424 Agrifacts     158541  374461
1425 Agrifacts     158697  373678
1426 Agrifacts     157396  372287
1427 Agrifacts     158809  372885
1428 Agrifacts     158878  372314
1429 Agrifacts     156947  371838
1430 Agrifacts     156564  371521
1431 Agrifacts     155962  371180
1432 Agrifacts     155266  370759
1433 Agrifacts     154776  370394
1434 Agrifacts     154038  369875
1435 Agrifacts     153294  369252
1436 Agrifacts     153081  369151
1437 Agrifacts     159035  371709
1438 Agrifacts     159219  370522
1439 Agrifacts     161523  370576
1440 Agrifacts     162247  369617
1441 Agrifacts     199627  347574
1442 Agrifacts     203328  350524
1443 Agrifacts     203969  349306
1444 Agrifacts     204372  350524
1445 Agrifacts     201905  350919
1446 Agrifacts     199920  350935
1447 Agrifacts     197382  350927
1448 Agrifacts     201312  351655
1449 Agrifacts     203471  351797
1450 Agrifacts     204143  351489
1451 Agrifacts     197018  351805
1452 Agrifacts     202071  354849
1453 Agrifacts     208476  354960
1454 Agrifacts     205716  350730
1455 Agrifacts     209781  352422
1456 Agrifacts     206151  354462
1457 Agrifacts     208824  356091
1458 Agrifacts     198547  436714
1459 Agrifacts     196590  436257
1460 Agrifacts     195031  436497
1461 Agrifacts     200991  435335
1462 Agrifacts     224804  499577
1463 Agrifacts     223231  497035
1464 Agrifacts     228852  505834
1465 Agrifacts     232499  505132
1466 Agrifacts     226510  503659
1467 Agrifacts     203050  530722
1468 Agrifacts     111657  451619
1469 Agrifacts     113511  448536
1470 Agrifacts     113249  450249
1471 Agrifacts     111758  458914
1472 Agrifacts     114156  461211
